lakename,year4,daynum,sampledate,depth,depth_id,doc,DIC_uM,DIC_mg,air_pco2,water_pco2,tpc,tpn
"West Long Lake",1992,210,1992-07-28,4.74,6,,,2.105,,,,
"West Long Lake",1992,213,1992-07-31,0,1,,,,468.51,344.38,,
"West Long Lake",1992,217,1992-08-04,0,1,,,0.212,,,,
"West Long Lake",1992,217,1992-08-04,1.75,3,,,0.236,,,,
"West Long Lake",1992,217,1992-08-04,0.85,2,,,0.238,,,,
"West Long Lake",1992,217,1992-08-04,3,4,,,0.297,,,,
"West Long Lake",1992,217,1992-08-04,3.75,5,,,0.341,,,,
"West Long Lake",1992,217,1992-08-04,4.95,6,,,1.066,,,,
"West Long Lake",1992,220,1992-08-07,0,1,,,,488.3,335.79,,
"West Long Lake",1992,224,1992-08-11,"Epilimnion",-1,7.2,,,,,0.4,0.05
"West Long Lake",1992,224,1992-08-11,"Metalimnion",-2,7.5,,,,,0.46,0.05
"West Long Lake",1992,224,1992-08-11,3,4,,,0.274,,,,
"West Long Lake",1992,224,1992-08-11,1.5,3,,,0.274,,,,
"West Long Lake",1992,224,1992-08-11,0.8,2,,,0.279,,,,
"West Long Lake",1992,224,1992-08-11,0,1,,,0.34,,,,
"West Long Lake",1992,224,1992-08-11,3.9,5,,,0.608,,,,
"West Long Lake",1992,224,1992-08-11,5.1,6,,,2.762,,,,
"West Long Lake",1992,227,1992-08-14,0,1,,,,529.68,327.28,,
"West Long Lake",1992,231,1992-08-18,0.9,2,,,0.21,,,,
"West Long Lake",1992,231,1992-08-18,1.7,3,,,0.211,,,,
"West Long Lake",1992,231,1992-08-18,0,1,,,0.223,,,,
"West Long Lake",1992,231,1992-08-18,3,4,,,0.283,,,,
"West Long Lake",1992,231,1992-08-18,3.9,5,,,0.693,,,,
"West Long Lake",1992,231,1992-08-18,5.1,6,,,1.187,,,,
"West Long Lake",1992,234,1992-08-21,0,1,,,,737.61,293.61,,
"West Long Lake",1992,238,1992-08-25,"Metalimnion",-2,6.95,,,,,0.49,0.07
"West Long Lake",1992,238,1992-08-25,"Epilimnion",-1,7.14,,,,,0.42,0.06
"West Long Lake",1992,238,1992-08-25,3.2,4,,,0.393,,,,
"West Long Lake",1992,238,1992-08-25,0,1,,,0.434,,,,
"West Long Lake",1992,238,1992-08-25,0.75,2,,,0.515,,,,
"West Long Lake",1992,238,1992-08-25,1.6,3,,,0.526,,,,
"West Long Lake",1992,238,1992-08-25,4.1,5,,,0.772,,,,
"West Long Lake",1992,238,1992-08-25,5.2,6,,,3.187,,,,
"West Long Lake",1992,241,1992-08-28,0,1,,,,900.17,296.94,,
"West Long Lake",1992,245,1992-09-01,0,1,,,0.504,,,,
"West Long Lake",1992,245,1992-09-01,3,4,,,0.513,,,,
"West Long Lake",1992,245,1992-09-01,1.75,3,,,0.533,,,,
"West Long Lake",1992,245,1992-09-01,4,5,,,0.547,,,,
"West Long Lake",1992,245,1992-09-01,0.8,2,,,0.572,,,,
"West Long Lake",1992,245,1992-09-01,5.3,6,,,1.423,,,,
"West Long Lake",1992,248,1992-09-04,0,1,,,,765.14,313.89,,
"West Long Lake",1992,252,1992-09-08,"Metalimnion",-2,6.68,,,,,0.99,0.16
"West Long Lake",1992,252,1992-09-08,"Epilimnion",-1,6.79,,,,,0.41,0.05
