"new_name","year4","n_obs","avg_conc","sd_conc","cv_conc"
"Conochilus unicornis",2007,3,11.8333333333333,14.9131932641314,1.26026985330688
"Daphnia parvula",1984,8,0.51125,0.654706859158029,1.28060021351204
"Daphnia parvula",1985,6,0.786666666666667,0.98011563943581,1.24590971114722
"Daphnia parvula",1986,9,0.517777777777778,0.467219910154142,0.902356049653922
"Daphnia parvula",1987,9,0.993333333333333,1.36410226889336,1.37325731767787
"Daphnia parvula",1988,8,1.1425,0.607353744887254,0.531600651980091
"Daphnia parvula",1989,8,1.52375,1.66325788310601,1.09155562467991
"Daphnia parvula",1990,10,0.301,0.256274592315872,0.851410605700573
"Daphnia parvula",1991,11,0.680909090909091,0.485292788849258,0.712713041033624
"Daphnia parvula",1992,11,1.95090909090909,1.22850685423773,0.629709943924281
"Daphnia parvula",1993,7,0.391428571428571,0.299912685706389,0.766200291950628
